SSA(m2/g),Pore size(nm),Pore Volume (cm3/g),Potential,Nitrogen %,Id/Ig,Specific Capacitance
423.2,3.9,0,1,5.9,1.1,378
290.5,3.9,0,1,6.3,1.1,270
145.4,2.4,0.09,1,1.49,1.16,12
760.49,2.68,0.51,1,3.9,1.22,150
584.98,7.31,1.07,1,0.92,1.25,148
945.76,5.89,1.39,1,5.59,1.34,260
805.58,3.38,0.68,1,8.34,1.51,323
718.57,3.57,0.64,1,9.46,0,185
1187.35,3.62,1.07,1,2.66,0,110
1940,5.8,2.79,4,0,0,125
1096,0,0,1,0,1.005,110
1171,0,0,1,0,0.98,168
998,0,0,1,0,0.95,208
3050,0,2.1,1,4.16,0,246
3400,0,2.4,1,1.4,0,270
3050,0,2.1,1.6,4.16,0,169
3400,0,2.4,1.6,1.4,0,184
3050,0,2.1,3,4.16,0,138
3400,0,2.4,3,1.4,0,136
3050,0,2.1,3,4.16,0,154
3400,0,2.4,3,1.4,0,161
679,1,1.63,1,0,0.83,306
239,2.7,0.54,1,0,0,49
207,2.1,0.38,1,2,0,53
421,3.9,0,1,0,0,25
521,4,0,1,0,0,18
42.7,0,0.03,1,0.5,0,57.2
1537,0,0.83,1,0,0,201.3
2359,0,1.3,1,0,0,370.1
2422,0,1.4,1,0,0,330.2
1422,0,0.8,1,0,0,220
1537,0,0.83,1,0,0,218.3
2359,0,1.3,1,0,0,294.2
2422,0,1.4,1,0,0,314
1422,0,0.8,1,0,0,169.4
443.106,2.145,0.238,1,0,0,85
1844.401,2.144,0.988,1,0,0,140
1204.138,3.021,0.514,1,0,0,160
2216.755,2.605,1.443,1,0,0,230
2324.359,2.092,1.215,1,0,0,185
241,3.13,0.35,0.8,0,0,50
253,4.04,0.27,0.8,0,0,67
264,4.88,0.54,0.8,0,0,140
1339,2.27,0.76,0.8,0,0,186
2076,2.22,1.2,0.8,0,0,266
1652,2.23,0.92,0.8,0,0,190
1264,0.8,0.56,1,9.2,1.01,236
1803,1.1,0.8,1,6.5,0.98,285
2695,1.1,1.2,1,3.4,1.02,263
1438,0.9,0.82,1,0.6,0.91,248
1921.7,3.06,1.47,4,0.93,1.905,307.9
2855.7,2.21,1.58,4,0.51,1.74,344.1
1290,0,0.59,1,0.6,0.88,289
1355,0,0.62,1,0.7,0.9,354
1660,0,0.78,1,0.7,0.94,420
1290,0,0.59,2.5,0.6,0.88,130
1355,0,0.62,2.5,0.7,0.9,152
1660,0,0.78,2.5,0.7,0.94,218
1009,2,0.52,1,7.18,0.96,277
1245,2.1,0.67,1,5.72,1.02,292
1638,2.2,0.89,1,4.36,1.45,302
1089,0,0.48,3.4,0,2.21,135
1230,0,0.51,3.4,0,2.38,125
1263,0,0.54,3.4,0,1.97,125
1886,0,0.86,3.4,0,2,231
742,0,0.48,1.2,0,0,56
991,0,0.59,1.2,0,0,68
282,18.15,1.28,0.9,0,1.1,85.8
999.7,3.17,0.79,0.9,10.193,1.72,166.7
898.6,2.53,0.57,0.9,0,0,155.7
642.5,2.22,0.53,0.9,10.969,1.53,192.1
884.6,2.57,0.57,0.9,10.081,1.53,222.6
928.2,2.74,0.64,0.9,10.454,1.53,293.4
1325,1.33,0.884,1,1.17,1.02,159
1417,2.22,1.56,1,1.99,1.01,190
1684,1.86,1.57,1,1.15,1.008,224
330.2,3,0.44,1,0,0,177.4
449.3,3.39,0.53,1,0,0,249.4
524.9,3.75,0.56,1,0,0,356.1
620.1,3.94,0.63,1,0,0,381.2
569.3,3.73,0.61,1,0,0,323.7
681.3,5.34,0.51,1,0,0,215.8
4.7,27.2,0.026,1,17.2,3.91,10
187.5,3.08,0.17,1,9.2,3.32,75.6
551.2,2.93,0.317,1,3.1,3.36,184
8.5,16.4,0.011,1,15.8,2.69,58
613.8,3.09,0.366,1,9,2.38,216
1435,0,0.87,1,0,0.87,218
1282,0,0.58,1,0,0,175
2385,3.53,1.36,1,0,0.8,294
2795,3.39,1.58,1,0.95,0.84,360
3003,2.56,1.62,1,1.7,0.86,390
1467.5,0.7,0,1,0,0.72,243.7
1467.5,0.7,0,3,0,0.72,121
498.5,1.1,0.941,1,4.11,0.71,238
665,1.2,0.626,1,5.82,1.01,175
847.9,5.181,0.44,1,1.45,0.92,220
891.8,4.017,0.613,1,0.96,0.8,272
878.2,3.981,0.537,1,1.02,0.78,250
1776.9,4.441,0.993,1,2.65,0.92,306.5
143.5,0,1.036,0.8,4.12,0,142.3
2905.6,0.62,4.337,0.8,1.95,0.94,374.7
1536,0,1.23,1,0,0,222
779,0,0.57,1,0,0,110
1021,0.5,1.62,1,0,0,249
1080,0,0.8,1,0,0,179
1021,0.5,1.62,2.5,0,0,135
1280,0.71,1.82,1,6.07,0,550
790,0.93,1.82,1,3.6,0,380
910,0.94,2.24,1,2.99,0,300
910,0,3.49,1,3.1,1.01,204
534,0,2.5,1,0,0.97,150
358.6,0,0.246,1,15.9,1.1,449
392.9,0,0.253,1,16.8,1.1,476
446.3,0,0.283,1,8,1.04,385
722,2.73,0.493,0.8,2.8,0,175
1600,2.16,0.862,0.8,2.6,0,270
1098.1,0,0,1,0,0,60
1349,2.6,0.9,1,9,0.91,190
2502,2.7,1.7,1,6.3,0.94,341
2360,2.2,1.3,1,8.5,0.88,260
505,15.8,1,1,0,0,150
719,0,0,1,0,0.95,216
239,0,0,1,0,0.98,58
552,0,0,1,0,0.99,90
467,0,0,1,0,1.01,133
764,0,0,1,0,0.99,241
493,0,0,1,0,0.99,148
951.7,1.48,0.46,1,0,1.64,114
1379.4,1.48,0.69,1,0,1.91,126
1636.2,1.48,0.74,1,0,1.92,133
1748.2,1.59,0.83,1,0,1.93,149
2006.9,1.36,0.92,1,0,1.95,174
2178.2,1.59,1.01,1,0,1.97,206
2582,0.48,0,0.8,1.27,1,227
2582,0.48,0,3.5,1.27,1,188
190.38,4.01,0.88,1,3.2,1,290
171.56,3.95,0.68,1,2.9,0.5,270
150,1,0.417,0.8,0,0,11
223,1,0.422,0,0,0,21
251,1,0.486,0,0,0,26
296,1,0.805,0,0,0,4
2359,2.7,2.23,0.8,1.9,0,240
1061,4.2,2.04,0.8,1.9,0,169
1460,0,1.7678,1,0,0.96,160
1415,3.96,1.4,1,3.47,0.88,289
170,8.37,0.2,1,0,0.8,96
306,5.5,0.31,1,0,0.76,137
654,4.38,0.49,1,5.89,0.67,243
214.3,0,1.28,3,0,1.2,32
627.8,0,1.36,3,0,1.47,0
661.5,0,1.58,3,0,1.47,0
1123.2,0,2.38,3,0,1.47,145
3550,0,1.78,3.5,0,0,150
1740,0,0.6,3.5,0,0,62
3550,0,1.78,3,0,0,216
773,0.5,0.68,1,0,2.95,142
1766,0.5,1.45,1,0,2.5,220
910,0.6,0.88,1,0,2.9,160
2335,2.6,1.32,0.9,1.1,1,315
2033,2,0.98,1,0.8,0.99,374
2312,2.15,1.2,1,1.4,0.98,355
1742,1.81,0.79,1,1,0.88,266
2345,1.78,1.03,1,0,0,203
182,2.29,0.1,1,0,0,134
1634.5,1.58,3.67,1,0,2.72,204.4
1972.1,1.65,4.78,1,0,2.55,236.5
1918.5,1.66,2.89,1,0,2.42,209.2
1007,0.6,0.62,0.9,0,0.85,147.2
1549,0.6,0.81,0.9,0,0.86,175.2
648,0.6,0.33,0.9,0,0.83,174.4
1007,0.6,0.62,2.7,0,0.85,38
1549,0.6,0.81,2.7,0,0.86,115
648,0.6,0.33,2.7,0,0.83,1.9
1290,0.7,3.04,2.7,3.6,0,101
1222,0.7,2.76,2.7,0,0,108
1487,1,0.74,2.7,0,0,90
2548.6,2.42,1.54,1,0,0.96,239
449,4.77,0.54,1,0,0,185
600,4.2,0.63,1,0,0,193
1018,4.18,1.07,1,0,0,233
1066,5.57,1.48,1,0,0,168
866,3.81,0.83,1,0,0,189
1456,3.7,1.35,1,0,1.02,245
971,4.07,0.99,1,0,0,236
943,1.9,0.44,0.9,2.06,1.15,232
1177,1.89,0.55,0.9,1.88,1.27,267
1733,1.97,0.86,0.9,1.64,1.38,304
1841,2.25,1.05,0.9,1.39,1.78,187
1554,2.36,0.94,0.9,1.09,2.35,204
341,0,0.53,0.9,0,0,41
1161.6,21,2.78,1,0,0,257
851,2,0.55,1,0,0,120
1299,0,0,1,4.8,0.89,491
2090,0,0,1,4.1,0.9,525
3023,1.2,2.18,4,0,0,213
1218,0,1.075,0,0,0,276
